text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
"Molluscs; n.e.c. in heading 0307, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process, for customs clearance and import declaration, palletized for container shipment.",030799,HS 03,HS 03,"Molluscs; n.e.c. in heading 0307, whether in shell or not, dried, salted, in brine, or smoked, cooked or not before or during the smoking process",en
"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)",621133,HS 62,HS 62,"Track suits and other garments n.e.c.; men's or boys', of man-made fibres (not knitted or crocheted)",en
"Textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307, for international wholesale distribution, shipping term FOB.",630790,HS 63,HS 63,"Textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307",en
"Trade declaration: milk powder, fat content ≤1.5%, new",040210,HS 04,Dairy,"Milk powder, fat content ≤1.5%",en
"Chemical products, mixtures and preparations; consisting mainly of (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate and bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate, for cross-border shipment, shipping term FOB.",382491,HS 38,HS 38,"Chemical products, mixtures and preparations; consisting mainly of (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate and bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate",en
"女式棉质针织T恤 印花款, for regional retail supply chain, palletized for container shipment.",610910,HS 61,Garments,"T-shirts and singlets, cotton, knitted",zh
"Medicaments; containing alkaloids or their derivatives, containing pseudoephedrine (INN) or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale), for export under standard commercial terms, shipping term FOB.",300342,HS 30,HS 30,"Medicaments; containing alkaloids or their derivatives, containing pseudoephedrine (INN) or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)",en
"Mixtures containing halogenated derivatives of methane, ethane or propane; containing trifluoromethan (HFC-23) or perfluorocarbons (PFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); containing trifluoromethane (HFC-2",382751,HS 38,HS 38,"Mixtures containing halogenated derivatives of methane, ethane or propane; containing trifluoromethan (HFC-23) or perfluorocarbons (PFCs) but not containing chlorofluorocarbons (CFCs) or hydrochlorofluorocarbons (HCFCs); containing trifluoromethane (HFC-2",en
"Ovens, cookers, cooking plates, boiling rings, grillers and roasters; of a kind used for domestic purposes (excluding microwaves), for cross-border shipment, for 20ft container loading.",851660,HS 85,HS 85,"Ovens, cookers, cooking plates, boiling rings, grillers and roasters; of a kind used for domestic purposes (excluding microwaves)",en
"Clocks; (excluding those with watch movements and instrument panel clocks), wall clocks, electrically operated",910521,HS 91,HS 91,"Clocks; (excluding those with watch movements and instrument panel clocks), wall clocks, electrically operated",en
"Export grade photosensitive semiconductor devices, certified",854140,HS 85,Electronics,Photosensitive semiconductor devices,en
"Hides and skins; raw, of reptiles (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",410320,HS 41,HS 41,"Hides and skins; raw, of reptiles (fresh or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",en
"Footwear with uppers of leather, commercial grade, for import, for export under standard commercial terms, for mixed-lot cargo.",640510,HS 64,Footwear,Footwear with uppers of leather,en
"Premium jasmine rice, 100% grade A, for international wholesale distribution, with standard commercial invoice and packing list.",100630,HS 10,Cereals,Semi-milled or wholly milled rice,en
"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, dyed, for regional retail supply chain, for 20ft container loading.",600542,HS 60,HS 60,"Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, dyed",en
"Binoculars, for export under standard commercial terms, for scheduled maritime transport.",900510,HS 90,HS 90,Binoculars,en
Paper and paperboard; filter paper and paperboard,482320,HS 48,HS 48,Paper and paperboard; filter paper and paperboard,en
Boilers; parts of central heating boilers (excluding those of heading no. 8402),840390,HS 84,HS 84,Boilers; parts of central heating boilers (excluding those of heading no. 8402),en
"Magnesium; unwrought, containing less than 99.8% by weight of magnesium, for regional retail supply chain, for mixed-lot cargo.",810419,HS 81,HS 81,"Magnesium; unwrought, containing less than 99.8% by weight of magnesium",en
"Metals; silver, semi-manufactured, for bulk procurement program, with standard commercial invoice and packing list.",710692,HS 71,HS 71,"Metals; silver, semi-manufactured",en
"Hemp (cannabis sativa L.); raw or retted, but not spun",530210,HS 53,HS 53,"Hemp (cannabis sativa L.); raw or retted, but not spun",en
"Fluorspar; containing by weight 97% or less of calcium fluoride, for customs clearance and import declaration, with standard commercial invoice and packing list.",252921,HS 25,HS 25,Fluorspar; containing by weight 97% or less of calcium fluoride,en
"Parts of vacuum cleaners, for international wholesale distribution, palletized for container shipment.",850870,HS 85,HS 85,Parts of vacuum cleaners,en
"Other frozen fish for industrial/commercial use, for export under standard commercial terms, palletized for container shipment.",030389,HS 03,Fish,Other frozen fish,en
"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), tetrahydrocannabinols (all isomers), for international wholesale distribution, for scheduled maritime transport.",293295,HS 29,HS 29,"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), tetrahydrocannabinols (all isomers)",en
"Refractory ceramic goods; containing by weight more than 50% of alumina or of a mixture or compound of alumina and of silica, excluding those of siliceous fossil meals or similar earths, for international wholesale distribution, packed in cartons.",690320,HS 69,HS 69,"Refractory ceramic goods; containing by weight more than 50% of alumina or of a mixture or compound of alumina and of silica, excluding those of siliceous fossil meals or similar earths",en
"Moulds; for rubber or plastics, injection or compression types, for industrial procurement contract, with standard commercial invoice and packing list.",848071,HS 84,HS 84,"Moulds; for rubber or plastics, injection or compression types",en
Poultry fat; other than that of heading 0209 or 1503,150190,HS 15,HS 15,Poultry fat; other than that of heading 0209 or 1503,en
Watch cases; of precious metal or of metal clad with precious metal,911110,HS 91,HS 91,Watch cases; of precious metal or of metal clad with precious metal,en
"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, printed, for bulk procurement program, shipping term FOB.",540824,HS 54,HS 54,"Fabrics, woven; of artificial filament yarn, containing 85% or more by weight of artificial filament, strip or the like, printed",en
"Insecticides, rodenticides, fungicides, disinfectants, herbicides and the like; containing goods specified in Subheading Note 1 to this Chapter; not DDT (ISO) (clofenotane (INN)), put up in forms or packings for retail sale or as preparations or articles",380859,HS 38,HS 38,"Insecticides, rodenticides, fungicides, disinfectants, herbicides and the like; containing goods specified in Subheading Note 1 to this Chapter; not DDT (ISO) (clofenotane (INN)), put up in forms or packings for retail sale or as preparations or articles",en
"Export grade toilet soap in bars, certified, for regional retail supply chain, packed in cartons.",340111,HS 34,Cosmetics,Toilet soap in bars,en
"HR steel coil for pipe manufacturing, for export under standard commercial terms, for scheduled maritime transport.",720839,HS 72,Steel,"Hot-rolled iron or steel, coil >600mm",en
"Sewing thread; of artificial filaments, whether or not put up for retail sale",540120,HS 54,HS 54,"Sewing thread; of artificial filaments, whether or not put up for retail sale",en
"Silicates; commercial alkali metal silicates, other than of sodium, for regional retail supply chain, shipping term FOB.",283990,HS 28,HS 28,"Silicates; commercial alkali metal silicates, other than of sodium",en
"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), partially oriented, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread, for bulk procurement program, shipping term CIF.",540246,HS 54,HS 54,"Yarn, synthetic; filament, monofilament (less than 67 decitex), of polyesters (not high tenacity or textured), partially oriented, single, untwisted or twisted 50 turns or less per metre, not for retail sale, not sewing thread",en
"Paper, cigarette; in the form of booklets or tubes",481310,HS 48,HS 48,"Paper, cigarette; in the form of booklets or tubes",en
"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of synthetic staple fibres n.e.c. in item no. 55.14.1, mixed mainly or solely with cotton, exceeding 170g/m2, for customs clearance and import declaration, for mixed-lot cargo.",551419,HS 55,HS 55,"Fabrics, woven; unbleached or bleached, containing less than 85% by weight of synthetic staple fibres n.e.c. in item no. 55.14.1, mixed mainly or solely with cotton, exceeding 170g/m2",en
